index	label	city	Lufthansa	American Airlines	United	Adria
string	string	string	1 0	1 0	1 0	1 0
						class
558	BOS	Boston	1	1	1	0
559	OAK	Oakland	1	1	1	0
560	FWA	Fort Wayne	1	1	1	0
561	CCS	Caracas	1	1	0	0
562	BOI	Boise	1	1	1	0
563	NAP	Neapel/Naples	1	1	1	0
564	BOM	Mumbai/Bombay	1	0	1	0
565	BON	Bonaire AN	0	1	0	0
566	BOD	Bordeaux	1	1	1	0
567	TIA	Tirana	1	0	0	1
568	GSO	Greensboro-High Point	1	1	1	0
569	BOG	Bogota CO	0	1	0	0
570	SXB	Strasbourg FR	0	1	0	0
571	WDH	Windhuk/Windhoek	1	0	0	0
572	LYS	Lyon	1	1	0	0
573	OHD	Ohrid	0	0	0	1
574	PIA	Peoria	1	1	1	0
575	DOM	Dominica (Melville Hall) DM	0	1	0	0
576	YQT	Thunder Bay	1	0	0	0
577	RVN	Rovaniemi	1	0	0	0
578	HKT	Phuket	1	0	1	0
579	LPB	La Paz BO	0	1	0	0
580	MYJ	Matsuyama, Japan	0	0	1	0
581	ZIH	Ixtapa/Zihuatanejo MX	0	1	1	0
582	VVI	Santa Cruz BO	0	1	0	0
583	PIR	Pierre, SD	0	0	1	0
584	PIT	Pittsburgh	1	1	1	0
585	HKG	Hong Kong	1	1	1	0
586	SVO	Moskau/Moscow Sheremetyevo	1	0	0	1
587	YVR	Vancouver	1	1	1	0
588	IPC	Easter Island CL	0	1	0	0
589	SVG	Stavanger	1	0	1	0
590	FSM	Ft Smith AR US	0	1	0	0
591	KMI	Miyazaki, Japan	0	0	1	0
592	SVX	Jekaterinenburg/Ekaterinburg	1	0	0	0
593	SVQ	Sevilla	1	0	0	0
594	BIS	Bismarck, ND	0	0	1	0
595	NAS	Nassau BS	0	1	1	0
596	COD	Cody, WY	0	0	1	0
597	GJT	Grand Junction	1	0	1	0
598	FLR	Florenz/Florence Peretola	1	0	0	0
599	XIY	Xi An	1	1	1	0
600	DEL	Delhi	1	1	1	0
601	FLL	Fort Lauderdale	1	1	1	0
